Cep;Latitude;Longitude;UF;Cidade
57602499;-9,4195299;-36,6189801;AL;PALMEIRA DOS ÍNDIOS
57602500;-9,4187282;-36,6187758;AL;PALMEIRA DOS ÍNDIOS
57602501;-9,419083;-36,6218648;AL;PALMEIRA DOS ÍNDIOS
57602520;-9,4061835;-36,6244096;AL;PALMEIRA DOS ÍNDIOS
57602525;-9,4204178;-36,6200541;AL;PALMEIRA DOS ÍNDIOS
57602530;-9,4120394;-36,6289703;AL;PALMEIRA DOS ÍNDIOS
57602531;-9,4054552;-36,6236848;AL;PALMEIRA DOS ÍNDIOS
57602532;-9,4050305;-36,6241546;AL;PALMEIRA DOS ÍNDIOS
57602533;-9,4050217;-36,6237096;AL;PALMEIRA DOS ÍNDIOS
57602534;-9,4046021;-36,6238569;AL;PALMEIRA DOS ÍNDIOS
57602535;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57602536;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57602537;-9,4204178;-36,6200541;AL;PALMEIRA DOS ÍNDIOS
57602540;-9,4037786;-36,624379;AL;PALMEIRA DOS ÍNDIOS
57602550;-9,4019616;-36,6218137;AL;PALMEIRA DOS ÍNDIOS
57602640;-9,4007438;-36,6234581;AL;PALMEIRA DOS ÍNDIOS
57602645;-9,4063642;-36,6257459;AL;PALMEIRA DOS ÍNDIOS
57602650;-9,4026951;-36,6244122;AL;PALMEIRA DOS ÍNDIOS
57602670;-9,3976053;-36,6216576;AL;PALMEIRA DOS ÍNDIOS
57602680;-9,3987824;-36,6216625;AL;PALMEIRA DOS ÍNDIOS
57602685;-9,3991895;-36,622607;AL;PALMEIRA DOS ÍNDIOS
57602690;-9,3989541;-36,6218894;AL;PALMEIRA DOS ÍNDIOS
57602710;-9,3981902;-36,621643;AL;PALMEIRA DOS ÍNDIOS
57602730;-9,3977052;-36,6210807;AL;PALMEIRA DOS ÍNDIOS
57602740;-9,3978587;-36,6201148;AL;PALMEIRA DOS ÍNDIOS
57602750;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603008;-9,4182385;-36,6297455;AL;PALMEIRA DOS ÍNDIOS
57603010;-9,4173983;-36,6283329;AL;PALMEIRA DOS ÍNDIOS
57603012;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603014;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603016;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57603020;-9,4185679;-36,6290863;AL;PALMEIRA DOS ÍNDIOS
57603030;-9,4185651;-36,6278067;AL;PALMEIRA DOS ÍNDIOS
57603040;-9,419151;-36,6275167;AL;PALMEIRA DOS ÍNDIOS
57603050;-9,4198646;-36,6274613;AL;PALMEIRA DOS ÍNDIOS
57603060;-9,420187;-36,6267196;AL;PALMEIRA DOS ÍNDIOS
57603065;-9,4197587;-36,6304689;AL;
57603070;-9,4188785;-36,6289368;AL;PALMEIRA DOS ÍNDIOS
57603075;-9,4218929;-36,6275164;AL;PALMEIRA DOS ÍNDIOS
57603080;-9,4210152;-36,630128;AL;PALMEIRA DOS ÍNDIOS
57603085;-9,4212983;-36,628452;AL;PALMEIRA DOS ÍNDIOS
57603090;-9,4204268;-36,6303205;AL;PALMEIRA DOS ÍNDIOS
57603100;-9,4197587;-36,6304689;AL;PALMEIRA DOS ÍNDIOS
57603110;-9,4197587;-36,6304689;AL;PALMEIRA DOS ÍNDIOS
57603112;-9,4195204;-36,6345672;AL;PALMEIRA DOS ÍNDIOS
57603120;-9,4189459;-36,6329876;AL;PALMEIRA DOS ÍNDIOS
